message,sentiment
I really love this product,positive
This is the worst experience ever,negative
Amazing service and friendly staff,positive
I am very disappointed with the quality,negative
It was okay nothing special,neutral
Absolutely fantastic highly recommend,positive
Terrible I will never buy again,negative
Pretty good overall,positive
Customer support was very helpful,positive
The product broke after one use,negative
Not bad could be better,neutral
Excellent quality and fast delivery,positive
Very poor packaging and late delivery,negative
I am satisfied with the purchase,positive
Waste of money totally disappointed,negative
Average experience nothing great,neutral
Superb performance exceeded expectations,positive
Worst customer service ever,negative
Decent product for the price,neutral
Highly recommend this to everyone,positive