message,label
Hey how are you,ham
Lets meet tomorrow,ham
Free cash prize waiting,spam
Call me later,ham
Win money now,spam
Congratulations you won lottery,spam
Are you coming today,ham
Click here to claim reward,spam
Can we talk now,ham
Limited time offer buy now,spam
Your account has been credited,spam
See you at the meeting,ham
Urgent call me immediately,ham
Exclusive deal just for you,spam
Lunch at 2 pm,ham
Get free recharge now,spam
Are you free this evening,ham
You have won a gift voucher,spam
Lets go for a movie,ham
Act now to claim your bonus,spam